,I_D,FLAG_TSUNAMI,YEAR,MONTH,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,avg_density,dst_avg_density,sum_density,density_deviation,max_density,HDI,HDI_pop_wgt,max_HDI,dist_to_closest_pop,pop_dist_deviation,avg_pop_distance,eq_mag_unlogged
0,4868,Yes,1980,1.0,13.0,6.9,6.9,7.2,6.0,7.2,0.0,0.0,8.0,AZORES (PORTUGAL),38.727,-27.75,130.0,69,9527.587,10654.569858573777,238189.67,14756.673805361577,67584.53,0.8076627,0.8076627,0.8076627,0.1613350550744163,1.166621944769403,1.5643025629545568,7943282.347242822
1,4870,No,1980,1.0,11.0,5.9,0.0,5.9,5.3,5.8,0.0,0.0,7.0,USA,37.855,-121.816,150.0,0,124061.7,88315.17603277953,12406170.0,214980.8910344423,1120503.0,0.9511953,0.95119524,0.9511953,0.06229767250779292,0.3580742932097134,0.9620504002074776,794328.2347242822
2,4872,No,1980,4.0,84.0,5.8,0.0,0.0,5.8,0.0,0.0,0.0,0.0,INDONESIA,-8.082,108.793,60.0,0,642900.7,701013.8126190369,50789150.0,602140.9113046499,4930035.5,0.7042598,0.705152,0.7824059,0.2226499494840191,0.45715512955799764,1.2812670925194865,630957.344480193
3,4873,No,1980,5.0,24.0,4.5,0.0,0.0,4.5,0.0,0.0,0.0,8.0,ITALY,40.459,15.855,130.0,0,31091.4,28681.78567923354,404188.22,19199.130930706036,79452.2,0.8676528,0.86780113,0.8726872,0.08634813257444758,0.1267354487063973,0.3404957372934675,31622.776601683792
4,4874,No,1980,5.0,105.0,5.3,0.0,0.0,5.3,0.0,0.0,0.0,0.0,GUATEMALA,14.716,-91.317,100.0,0,253392.45,234694.45523758625,12162838.0,336458.93969477556,2257999.2,0.640976,0.6406077,0.6868504,0.10791200117741169,0.2338300097607921,0.6529845861376158,199526.2314968879
5,4876,Yes,1980,5.0,4.0,5.2,0.0,5.2,4.7,5.0,0.0,0.0,5.0,USA,46.214,-122.194,150.0,0,56967.945,70041.51966134523,2848397.2,140894.2200957279,743052.06,0.944245,0.9414259,0.94821656,0.11261438628769063,0.2359576707486262,0.6644693356827027,158489.3192461114
6,4877,No,1980,5.0,9.0,5.8,0.0,5.8,5.7,0.0,0.0,0.0,8.0,SERBIA,43.294,20.837,130.0,0,56959.92,58114.30071942011,5695992.0,55201.37875824399,314595.53,0.77738,0.7766162,0.807,0.0894706655970268,0.33390755481669904,0.9402157664007201,630957.344480193
7,4878,No,1980,5.0,7.0,6.1,0.0,6.1,6.1,0.0,0.0,0.0,7.0,USA,37.6,-118.84,150.0,0,14683.11,18761.255817449703,1468311.1,52239.222046103256,384182.56,0.93906206,0.95068234,0.9511953,0.043011626336792126,0.3455894942567906,0.9566672475025871,1258925.411794166
8,4879,No,1980,6.0,5.0,6.4,0.0,6.4,5.6,0.0,0.0,0.0,5.0,MEXICO,32.22,-114.985,150.0,1,18093.436,11133.12053507328,1809343.6,78451.54585695117,715240.94,0.8456907,0.82067543,0.9511953,0.14534441853551672,0.3558062081260693,0.9656049517460307,2511886.4315095823
9,4880,Yes,1980,6.0,15.0,6.2,0.0,6.2,5.8,0.0,0.0,0.0,8.0,JAPAN,34.808,139.181,30.0,0,480066.62,447664.1462848621,48006664.0,1099497.7144417285,8057306.0,0.9043018,0.9090516,0.9359721,0.08732124597588399,0.47740111251797956,1.1807570859373728,1584893.1924611141
