,FLAG_TSUNAMI,YEAR,MONTH,FOCAL_DEPTH,EQ_PRIMARY,COUNTRY,LATITUDE,LONGITUDE,REGION_CODE,avg_density,sum_density,density_deviation,max_density,HDI,HDI_pop_wgt,max_HDI,SoilDensity,Soil_pop_wgt,max_soil,dist_to_closest_pop,pop_dist_deviation,avg_pop_distance,eq_mag_unlogged,Years_Before_Data_Age,avg_diff,avg_pred,ct,actual
0,0,1970,2.0,11.0,7.1,PHILIPPINES,12.6,122.1,170.0,60046.168,4203232.0,66027.35774289044,379762.78,0.5669252,0.57512933,0.754686,0.7231428572108549,0.9689850378492324,1.480000019073751,0.0353553390777507,0.321848066316629,0.8929489965621359,12589254.117941665,45,-0.01187401306606417,1.0118740130660642,1,1.0
1,0,1970,2.0,35.0,5.4,PERU,-9.9,-75.6,160.0,16696.188,1168733.1,22337.24127209849,124788.72,0.74,0.74000007,0.74,1.340142873355315,1.2347729553504934,1.470000028610241,0.0353553390582363,0.2797965762724347,0.7852275142323863,251188.6431509582,45,0.9616975137565723,1.0383024862434276,2,2.0
2,0,1970,3.0,3.0,5.4,INDIA,21.7,73.0,60.0,383708.16,26859570.0,622720.6983397602,4963211.5,0.7190668,0.7172329,0.7757358,1.59328572579793,1.6424816202854986,1.759999990463287,0.1457737973534677,0.2878060325313458,0.7952723742497098,251188.6431509582,45,0.7662521069787007,1.2337478930212993,1,2.0
3,0,1970,3.0,20.0,7.4,TURKEY,39.2,29.5,140.0,65251.098,4567577.0,188682.63475695657,1527656.0,0.767,0.76699996,0.767,1.4534285783767675,1.4706660530729314,1.5000000000000195,0.1457737973553047,0.2803975122357617,0.7875144372743255,25118864.315095823,45,0.6878208922296305,3.3121791077703695,1,4.0
4,0,1970,3.0,23.0,4.8,IRAN,38.6,44.7,140.0,44123.83,3088668.0,34994.78173348871,153640.66,0.77061427,0.770668,0.774,1.479571448053623,1.474790319560448,1.7999999523161598,0.0790569414931073,0.2804615860418677,0.7868113734202603,63095.7344480193,45,0.4933849467467175,0.5066150532532825,4,1.0
5,0,1970,4.0,18.0,5.7,TURKEY,39.1,28.7,140.0,70893.984,4962579.0,187705.6089634484,1527656.0,0.767,0.76699996,0.767,1.457142850330896,1.4709677949449853,1.5000000000000195,0.0790569414941106,0.2804615860418848,0.7868113734202943,501187.2336272725,45,-1.0848899031661257,1.0848899031661257,3,0.0
6,0,1970,5.0,17.0,5.7,RUSSIA,43.0,47.0,40.0,48683.703,3407859.2,55834.58395265905,288306.9,0.76461625,0.76285434,0.77071166,1.4742857166699,1.464555518234692,1.79999995231634,0.1767766952802577,0.2974507996323376,0.8047412051068008,501187.2336272725,45,-0.5249923985479453,0.5249923985479453,3,0.0
7,0,1970,7.0,16.0,6.7,IRAN,37.8,55.9,140.0,15564.495,1089514.6,16512.901928772473,64153.434,0.74237144,0.7661838,0.774,1.69528571196965,1.6155334560299657,2.039999961853063,0.0790569415072248,0.2804615860422295,0.7868113734207449,5011872.336272725,45,0.35742849535777754,2.6425715046422225,2,3.0
8,0,1970,7.0,27.0,4.9,TURKEY,38.8,36.7,140.0,28345.045,1984153.1,53899.898931981625,397693.06,0.767,0.767,0.767,1.4897143108504205,1.514516629268503,1.5900000333786375,0.1060660171739868,0.2804302702320944,0.7872761503532686,79432.82347242821,45,0.5236270261325138,0.47637297386748617,2,1.0
9,0,1970,7.0,651.0,7.1,PERU,-1.5,-72.6,160.0,323.7392,22661.744,160.0059321634656,813.6313,0.72922856,0.72862786,0.74,1.348857106481277,1.352786190187563,1.3899999856949037,0.1274754878328923,0.2806621955710962,0.7874214927439535,12589254.117941665,45,-0.06811778310058059,1.0681177831005806,1,1.0
10,0,1970,9.0,5.0,5.5,CROATIA,44.0,16.0,130.0,17669.68,1236877.5,25708.173566687256,135725.86,0.805,0.79896677,0.827,1.3787142498152276,1.4263275928806192,1.509999990463243,0.1767766952816393,0.2982710928780412,0.8077647333034933,316227.7660168379,45,-0.3796547172860319,0.3796547172860319,1,0.0
11,0,1970,9.0,8.0,6.6,COLOMBIA,6.2,-77.6,160.0,8507.368,595515.75,8398.250985377237,38581.566,0.73135716,0.7276349,0.788,1.3820000341960383,1.3282452213749207,1.4600000381469889,0.2371708245169192,0.3567419471200915,1.0719223561904636,3981071.7055349695,45,-0.765659591836318,0.765659591836318,3,0.0
12,0,1970,12.0,25.0,7.6,PERU,-4.0,-80.7,160.0,42895.973,3002718.0,64097.50310721661,350524.84,0.73957145,0.7396051,0.74,1.3424285752432843,1.3598254256518163,1.519999980926527,0.1457737973696838,0.3706576803561737,0.9258801912290122,39810717.05534969,45,0.12038747872854716,1.879612521271453,2,2.0
13,0,1971,1.0,34.0,8.1,INDONESIA,-3.1,139.7,170.0,21082.22,1475755.4,36110.574103989326,186605.61,0.5777301,0.5777302,0.5777301,0.99614283697946,0.7995344018332827,1.399999976158652,0.0790569414829067,0.2859796204656012,0.7916472907865577,125892541.1794166,44,-2.4715324652987283,2.4715324652987283,2,0.0
14,0,1971,2.0,8.0,6.5,USA,34.412,-118.4,150.0,251233.22,17586326.0,485974.7553392835,2327441.0,0.9511953,0.9511952,0.9511953,1.4454285826001545,1.4775049755163274,1.5700000524520936,0.0446542271191111,0.3120836600909505,0.8267513138649014,3162277.6601683795,44,1.0043104742397886,0.9956895257602115,2,2.0
15,0,1971,2.0,33.0,4.6,ITALY,42.5,11.8,130.0,93352.86,6534700.0,227591.6307732344,1532695.9,0.9008671,0.9033482,0.9093576,1.4722857270922156,1.5394454663397883,1.6200000047684648,0.145773797370167,0.3353131287930256,0.8569421741704482,39810.71705534969,44,1.5741431327049624,0.4258568672950377,1,2.0
16,0,1971,2.0,40.0,7.1,INDONESIA,0.6,98.8,60.0,47317.566,3312229.5,37845.04088414245,157868.14,0.70165914,0.7017025,0.7047703,0.8638571500777953,1.093211728876572,1.5000000000000089,0.2850438562851601,0.3184917456443002,1.01445514967814,12589254.117941665,44,-0.5632690282080651,0.5632690282080651,3,0.0
17,0,1971,4.0,10.0,5.1,IRAN,29.8,51.9,140.0,47295.22,3310665.2,50330.52581060968,194807.48,0.774,0.77399987,0.774,1.5330000128064702,1.504914117884198,1.7400000095367858,0.0790569415068103,0.2804615860422191,0.7868113734207334,125892.5411794166,44,-0.6447018788977923,0.6447018788977923,1,0.0
18,0,1971,4.0,44.0,5.9,IRAN,28.3,55.6,140.0,16278.152,1139470.6,12446.246988228631,52649.14,0.774,0.77400005,0.774,1.475142880848474,1.4696092747072986,1.50999999046331,0.0790569415162407,0.2804615860422768,0.7868113734209827,794328.2347242822,44,-0.17365708597478702,1.173657085974787,1,1.0
19,0,1971,5.0,3.0,6.7,TURKEY,38.8,40.5,140.0,39950.12,2796508.5,66098.96616307754,336434.53,0.767,0.7669999,0.767,1.4829999906676274,1.5022225822283082,1.5299999713898895,0.1457737973632425,0.2803975122361556,0.7875144372747164,5011872.336272725,44,1.3290183604329202,2.67098163956708,3,4.0
20,0,1971,5.0,23.0,5.9,TURKEY,37.6,29.8,140.0,49176.94,3442386.0,74912.0324362885,379994.78,0.767,0.7669999,0.767,1.4470000045640128,1.4399044442928717,1.5000000000000195,0.0790569415196133,0.2804615860423698,0.7868113734210971,794328.2347242822,44,1.8263668191803322,1.1736331808196678,4,3.0
21,0,1971,6.0,35.0,5.2,INDONESIA,-7.2,109.1,60.0,634539.75,44417784.0,636509.9275200402,4930035.5,0.701299,0.70434904,0.7824059,1.248857126917133,1.3227121211416022,1.4800000190737703,0.079056941515145,0.3845868305030847,0.9000548786133961,158489.3192461114,44,0.30509602729923013,0.6949039727007699,3,1.0
22,0,1971,6.0,57.0,6.1,DOMINICAN REPUBLIC,18.0,-69.8,90.0,139908.84,9793619.0,273152.0211897932,1546856.0,0.722,0.72200006,0.722,1.2375714302062777,1.391663134933347,1.4500000476837318,0.3482097069255133,0.3708819627459769,1.1884642750234644,1258925.411794166,44,-0.6811438379909667,0.6811438379909667,2,0.0
